20231231|104107|38|7000509350|PEN|4.11|0.00|1|
20231130|107201|99|-|PEN|31.00|0.00|1|
20231130|104102|02|194-2118646173|USD|199.99|8,266.20|1|
20231231|104108|09|000-0834980|PEN|200.00|0.00|1|
20231130|104103|11|0011-0123-0100075619|PEN|200.00|0.00|1|
20231130|104101|02|194-2128885087|PEN|200.00|650.00|1|
20231231|104102|02|194-2118646173|USD|350.00|18,148.03|1|
20231231|104102|02|194-2118646173|PEN|378.65|0.00|1|
20231130|104107|38|7000509350|USD|565.80|14,377.84|1|
20231130|104101|02|194-2128885087|USD|754.40|199.99|1|
20231231|101102|99|-|PEN|1,000.00|0.00|1|
20231130|104118|09|000-2926147|PEN|1,180.00|2,950.00|1|
20231231|104101|02|194-2128885087|PEN|1,293.45|60,685.86|1|
20231231|104103|11|0011-0123-0100075619|PEN|1,544.00|35,287.94|1|
20231231|104109|09|000-4264101|USD|1,887.00|0.00|1|
20231231|104101|02|194-2128885087|USD|1,887.00|350.00|1|
20230930|101122|99|-|PEN|2,000.00|0.00|1|
20230930|104116|56|8111952|PEN|17,645.56|0.00|1|
20230930|101102|99|-|PEN|54,481.72|0.00|1|
20231031|104101|02|194-2128885087|PEN|55,200.00|8,453.39|1|
20230930|104105|18|46099737|PEN|97,987.73|0.00|1|
20230930|104103|11|0011-0123-0100075619|PEN|149,821.53|0.00|1|
20230930|104120|11|0011-0409-0100008541|PEN|870,088.11|0.00|1|
20230930|105103|99|-|PEN|6,701,029.81|2,147,759.00|1|
20231031|104101|02|194-2128885087|USD|0.00|1,921.00|1|
20231231|104122|09|000-3123768|PEN|0.00|1,144.60|1|
20231231|104120|11|0011-0409-0100008541|PEN|0.00|1,734.60|1|
20231130|104106|38|7000509341|PEN|0.00|8,078.67|1|
20230930|104101|02|194-2128885087|PEN|0.00|31,289.48|1|
20231231|101101|99|-|PEN|0.00|3,382.29|1|
20231031|101101|99|-|PEN|0.00|900.00|1|
20231130|101101|99|-|PEN|0.00|13,758.56|1|
